timestamp,order_id,driver_id,driver_name,vehicle_id,vehicle_type,origin_lat,origin_lon,destination_lat,destination_lon,payload,allocation_score,allocation_reasoning,route_waypoints,estimated_distance_km,driver_rating,vehicle_fuel_level,driver_hours_worked,status
2026-07-25T02:03:30.510951,ORD-9131,D068,Sophie Brown,V051,TRUCK,37.8044,-122.2711,37.5485,-121.9886,331.0505445462579,0.9911977959900011,Proximity:1.00 Rating:0.99 Fuel:0.99,11,5.5,4.933524100180918,99.4132024715083,0.42103773795984,AUTO_DISPATCHED
2026-07-25T02:03:30.534029,ORD-6201,D001,Olivia Gonzalez,V022,VAN,37.8044,-122.2711,37.7749,-122.4194,399.001996486281,0.9878067447270397,Proximity:1.00 Rating:0.95 Fuel:0.99,11,5.5,4.759432015685079,98.67359053655224,0.04647373641534491,AUTO_DISPATCHED
2026-07-25T02:03:31.531090,ORD-7560,D012,David Rossi,V041,TRUCK,37.7749,-122.4194,37.5485,-121.9886,148.8895562549972,0.990832863234822,Proximity:1.00 Rating:0.99 Fuel:0.98,11,5.5,4.928124367889188,97.53950812638473,0.20810989362581056,AUTO_DISPATCHED
2026-07-25T02:03:35.884431,ORD-7462,D065,Priya Miller,V027,TRUCK,37.3382,-121.8863,37.8044,-122.2711,397.50916419559667,0.9755742096716352,Proximity:1.00 Rating:0.95 Fuel:0.94,11,5.5,4.74337635215306,93.53814855298704,0.35744537951741373,AUTO_DISPATCHED
2026-07-25T02:03:36.930459,ORD-7062,D066,Emily Johnson,V070,TRUCK,37.8044,-122.2711,37.7749,-122.4194,287.5406249956159,0.9750573885808267,Proximity:1.00 Rating:0.96 Fuel:0.93,11,5.5,4.799926665439985,93.35070080722667,0.5572583398090192,AUTO_DISPATCHED
2026-07-25T02:03:40.423480,ORD-2482,D045,Omar Wilson,V044,TRUCK,37.8044,-122.2711,37.7749,-122.4194,146.26992345091824,0.9541252959512456,Proximity:1.00 Rating:0.85 Fuel:0.93,11,5.5,4.2644980478505685,92.73622989233613,0.44471766410249813,AUTO_DISPATCHED
2026-07-25T02:03:43.908451,ORD-4726,D006,Lisa Anderson,V039,TRUCK,37.7749,-122.4194,37.5485,-121.9886,301.83326159534533,0.9759446819414315,Proximity:1.00 Rating:0.95 Fuel:0.91,11,5.5,4.767207353580189,90.62083982493624,0.05398975513442661,AUTO_DISPATCHED
2026-07-25T02:03:44.485456,ORD-3502,D067,James Martin,V036,VAN,37.8044,-122.2711,37.7749,-122.4194,227.4355692577689,0.9465769651562919,Proximity:1.00 Rating:0.92 Fuel:0.90,11,5.5,4.611586204442624,89.94532978924798,1.8243582164228087,AUTO_DISPATCHED
2026-07-25T02:03:45.304112,ORD-5787,D053,Wei Patel,V067,CAR,37.7749,-122.4194,37.5485,-121.9886,434.52155171787274,0.9692760242804839,Proximity:1.00 Rating:0.98 Fuel:0.87,11,5.5,4.885469010041389,87.33177156243072,0.5712314771854272,AUTO_DISPATCHED
2026-07-25T02:03:46.630005,ORD-1853,D037,Lucas Brown,V020,TRUCK,37.3382,-121.8863,37.5485,-121.9886,258.67979770910256,0.9609571757261475,Proximity:1.00 Rating:0.94 Fuel:0.87,11,5.5,4.724564661389978,86.5186695573441,0.6242732052374298,AUTO_DISPATCHED
